id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,total_elevation_gain,kom,qom,climb_score,is_flat,custom_climb_category,country,region
26753892,Podhosta trail DH Od ceste do dna,Ride,644.8,-23.1,-0.9,367.6,218.6,0.0,1:37,,0.0,False,1.0,Slovenia,Dolenjske Toplice
6803812,Drganja sela,Ride,2543.1,3.4,15.3,273.4,184.0,89.4,4:38,7:36,3.0396,False,3.0,Slovenia,Straža
6321405,Laze Climb,Ride,3114.2,6.2,19.4,409.0,215.0,197.8,9:28,19:02,12.2636,False,4.0,Slovenia,Novo Mesto
3877078,Veliki Podljuben Climb,Ride,1426.09,7.3,34.2,335.7,232.0,110.723,,5:06,8.082779,False,4.0,Slovenia,Straža
17348917,ob železnici,Ride,2734.3,1.5,6.8,306.3,265.9,51.6,4:37,6:01,0.774,False,2.0,Slovenia,Novo Mesto
23490095,GHD Gorjanci,Ride,4234.6,3.4,15.5,439.4,293.5,160.3,8:22,10:16,5.4502,False,3.0,Slovenia,Novo Mesto
20264610,Stare Žage climb,Ride,1205.9,6.6,9.4,339.8,260.5,79.3,2:15,2:40,5.2338,False,3.0,Slovenia,Dolenjske Toplice
18903890,Laze,Ride,752.4,9.5,17.3,416.9,344.0,0.0,2:01,2:48,0.0,False,1.0,Slovenia,Novo Mesto
26820251,R421 Sodji Vrh - Brezova Reber (vežica),Ride,1461.0,8.1,20.2,493.4,375.4,118.0,5:40,,9.558,False,4.0,Slovenia,Semic
20264693,Brezova reber climb,Ride,1382.3,9.5,12.5,500.9,369.3,131.6,4:03,6:05,12.502,False,4.0,Slovenia,"Semic, Novo Mesto"
7055674,Dolž - stena,Ride,714.0,11.3,19.0,392.0,311.0,81.6,2:06,2:13,9.2208,False,4.0,Slovenia,Novo Mesto
10983464,Semič - Štrekljevec - Vahta,Ride,9716.5,4.1,18.6,606.2,205.0,450.6,19:23,24:44,18.4746,False,5.0,Slovenia,"Semic, Novo Mesto"
21487298,Trdinka,Ride,965.5,-15.9,17.2,917.5,763.6,9.1,2:08,2:53,-1.4469,False,1.0,Slovenia,Novo Mesto
